sex;birthdate;experience;location;jobtitel;state;branche;education;degree;uID
female;16.04.1985;Senior;Chur;Software Entwickler;Zufrieden ;IT-Dienstleistung ;Angewandte Informatik;BSc Abschluss;1
male;16.04.1976;Senior;Aarau;Datenbank Entwickler;Suche Job ;IT Consulting ;Wirtschaftsinformatik;MSc Abschluss ;2
male;16.04.1980;Senior;Bellinzona;IT-Berater;Unzufrieden;Finanzwesen ;Angewandte Informatik;MSc Abschluss;3
male;16.04.1993;Junior;Montherod ;Frontend Entwickler ;Unzufrieden;Medientechnik ;Angewandte Informatik;BSc Abschluss;4
male ;16.04.1988;Senior;Zürich;Backend Entwickler ;Zufrieden ;IT Consulting ;Wirtschaftsinformatik;MSc Abschluss;5
male;16.04.1988;Junior;Cloten ;IT-Manager;Unzufrieden;IT Consulting;Angewandte Informatik;BSc Abschluss;6
female;16.04.1983;Senior ;Dättnau;IT-Manager;Unzufrieden;Energiewirtschaft ;Angewandte Informatik;BSc Abschluss;7
female;16.04.1979;Senior;Deisswil;Backend Entwickler ;Zufrieden ;IT Dienstleistung;Angewandte Informatik;MSc Abschluss;8
male;16.04.1988;Junior;Zürich;IT-Manager;Unzufrieden;Maschinenbau;Wirtschaftsinformatik;BSc Abschluss;9
male;16.04.1994;Junior;Lentigny;Frontend Entwickler ;Zufrieden ;Medientechnik ;;;10
female;16.04.1994;Junior ;Aarau;Backend Entwickler ;Suche Job ;Finanzwesen ;Angewandte Informatik;MSc Abschluss;11
female;16.04.1974;Senior;Zürich;IT-Manager;Unzufrieden;Energiewirtschaft ;Wirtschaftsinformatik;BSc Abschluss;12
male;16.04.1991;Junior;Zürich;Webmaster;Unzufrieden;IT Consulting ;Angewandte Informatik;MSc Abschluss;13
male;16.04.1997;Junior ;Tavannes ;Backend Entwickler ;Zufrieden ;IT-Dienstleistung ;Angewandte Informatik;BSc Abschluss;14
male;16.04.1998;Junior;Sentier ;IT-Manager;Zufrieden ;IT Consulting ;Wirtschaftsinformatik;;15
female;16.04.1975;Senior;Zürich;Frontend Entwickler ;Unzufrieden;Finanzwesen ;Angewandte Informatik;MSc Abschluss;16
